name,price,link,status
Creative Pebble 2.0 USB-Powered Desktop Speakers with Far-Field,1999,https://www.amazon.in/dp/B0791H74NT,
Seagate Expansion 4TB External HDD - USB 3.0,10899,https://www.amazon.in/dp/B08ZJFH7Y1,
Western Digital WD 4TB My Passport Portable Hard,11299,https://www.amazon.in/dp/B07VTW2LPX,Unavailable
Crime and Punishment by Fyodor Dostoevsky: Powerful Psychological,288,https://www.amazon.in/dp/9815162497,
The Stranger,199,https://www.amazon.in/dp/9389004640,
"Concept Kart KZ EDX Pro IEM Earphone, HiFi",1139,https://www.amazon.in/dp/B0BKQRF51Z,
Samsung Galaxy Tab S9 FE [Smartchoice],34999,https://www.amazon.in/dp/B0CHZ38BPP,Unavailable
Amazon Brand - Symbol Men's Relaxed Fit Mid,799,https://www.amazon.in/dp/B085J75HK7,
realme Buds 3,599,https://www.amazon.in/dp/B0F6TNFL96,
Crucial Basics 16GB DDR4-3200 SODIMM,2890,https://www.amazon.in/dp/B0CWLSMGCT,
